Code,Name,Exchange,Type,Source
#000971,诺安新经济股票,CHINA,Mutual Fund,ak
#002259,鹏华健康环保混合,CHINA,Mutual Fund,ak
#005449,华夏行业龙头混合,CHINA,Mutual Fund,ak
#001220,民生加银研究精选混合,CHINA,Mutual Fund,ak
#006719,国融融盛龙头严选混合C,CHINA,Mutual Fund,ak
#006718,国融融盛龙头严选混合A,CHINA,Mutual Fund,ak
#011143,创金合信新材料新能源股票C,CHINA,Mutual Fund,ak
#010111,广发医药健康混合C,CHINA,Mutual Fund,ak
#000404,易方达新兴成长灵活配置,CHINA,Mutual Fund,ak
#168104,九泰锐丰灵活配置混合(LOF)A,CHINA,Mutual Fund,ak
#168111,九泰锐丰灵活配置混合(LOF)C,CHINA,Mutual Fund,ak
#005351,汇添富行业整合混合,CHINA,Mutual Fund,ak
#009147,建信新能源行业股票,CHINA,Mutual Fund,ak
#001313,上投摩根智慧互联股票,CHINA,Mutual Fund,ak
#009468,博时健康成长双周定期可赎回混合A,CHINA,Mutual Fund,ak
#009469,博时健康成长双周定期可赎回混合C,CHINA,Mutual Fund,ak
#011142,创金合信新材料新能源股票A,CHINA,Mutual Fund,ak
#010110,广发医药健康混合A,CHINA,Mutual Fund,ak
#001558,天弘医疗健康混合A,CHINA,Mutual Fund,ak
#001559,天弘医疗健康混合C,CHINA,Mutual Fund,ak
#006227,华宝科技先锋混合A,CHINA,Mutual Fund,ak
#010842,华宝科技先锋混合C,CHINA,Mutual Fund,ak
#000878,中海医药健康产业精选混合A,CHINA,Mutual Fund,ak
#006909,华夏战略新兴成指ETF联接A,CHINA,Mutual Fund,ak
#006910,华夏战略新兴成指ETF联接C,CHINA,Mutual Fund,ak
#006981,中金新医药股票A,CHINA,Mutual Fund,ak
#007005,中金新医药股票C,CHINA,Mutual Fund,ak
#006366,兴业安保优选混合,CHINA,Mutual Fund,ak
#005642,鹏扬景升A,CHINA,Mutual Fund,ak
#005643,鹏扬景升C,CHINA,Mutual Fund,ak
#000879,中海医药健康产业精选混合C,CHINA,Mutual Fund,ak
#002443,前海开源沪港深龙头精选混合,CHINA,Mutual Fund,ak
#550009,信诚中小盘混合,CHINA,Mutual Fund,ak
#005794,银华心怡灵活配置混合,CHINA,Mutual Fund,ak
#005112,银华中证全指医药卫生,CHINA,Mutual Fund,ak
#009777,中欧阿尔法混合C,CHINA,Mutual Fund,ak
#010586,创金合信医药消费股票C,CHINA,Mutual Fund,ak
#270028,广发制造业精选混合A,CHINA,Mutual Fund,ak
#010023,广发制造业精选混合C,CHINA,Mutual Fund,ak
#050026,博时医疗保健行业混合A,CHINA,Mutual Fund,ak
#005962,宝盈人工智能股票A,CHINA,Mutual Fund,ak
#005352,鹏扬景泰成长混合A,CHINA,Mutual Fund,ak
#005353,鹏扬景泰成长混合C,CHINA,Mutual Fund,ak
#002170,东吴移动互联混合C,CHINA,Mutual Fund,ak
#009776,中欧阿尔法混合A,CHINA,Mutual Fund,ak
#000986,太平灵活配置,CHINA,Mutual Fund,ak
#010585,创金合信医药消费股票A,CHINA,Mutual Fund,ak
#180031,银华中小盘混合,CHINA,Mutual Fund,ak
#040015,华安动态灵活配置混合,CHINA,Mutual Fund,ak
#005963,宝盈人工智能股票C,CHINA,Mutual Fund,ak
#001323,东吴移动互联混合A,CHINA,Mutual Fund,ak
#007875,国融融兴混合A,CHINA,Mutual Fund,ak
#007876,国融融兴混合C,CHINA,Mutual Fund,ak
#000336,农银研究精选混合,CHINA,Mutual Fund,ak
#002408,中信建投医改混合A,CHINA,Mutual Fund,ak
#007553,中信建投医改混合C,CHINA,Mutual Fund,ak
#630015,华商大盘量化精选混合,CHINA,Mutual Fund,ak
#006270,汇安核心成长混合A,CHINA,Mutual Fund,ak
#006271,汇安核心成长混合C,CHINA,Mutual Fund,ak
#001576,国泰智能装备股票A,CHINA,Mutual Fund,ak
#610005,信达澳银红利回报混合,CHINA,Mutual Fund,ak
#001106,华商健康生活混合,CHINA,Mutual Fund,ak
#002780,前海联合泓鑫混合A,CHINA,Mutual Fund,ak
#007043,前海联合泓鑫混合C,CHINA,Mutual Fund,ak
#001222,鹏华外延成长混合,CHINA,Mutual Fund,ak
#008958,嘉实回报精选股票,CHINA,Mutual Fund,ak
#009644,东方阿尔法优势产业混合A,CHINA,Mutual Fund,ak
#009645,东方阿尔法优势产业混合C,CHINA,Mutual Fund,ak
#213003,宝盈策略增长混合,CHINA,Mutual Fund,ak
#001171,工银养老产业股票,CHINA,Mutual Fund,ak
#001476,中银智能制造股票,CHINA,Mutual Fund,ak
#009988,信达澳银蓝筹精选股票,CHINA,Mutual Fund,ak
#005268,鹏华优势企业,CHINA,Mutual Fund,ak
#011322,国泰智能装备股票C,CHINA,Mutual Fund,ak
#006345,景顺长城集英两年定开混合,CHINA,Mutual Fund,ak
#008359,华安医疗创新混合,CHINA,Mutual Fund,ak
#001297,平安智慧中国混合,CHINA,Mutual Fund,ak
#010128,宝盈发展新动能股票A,CHINA,Mutual Fund,ak
#010129,宝盈发展新动能股票C,CHINA,Mutual Fund,ak
#010550,华商双擎领航混合,CHINA,Mutual Fund,ak
#001809,中信建投智信物联网A,CHINA,Mutual Fund,ak
#180012,银华富裕主题混合,CHINA,Mutual Fund,ak
#006002,工银医药健康股票A,CHINA,Mutual Fund,ak
#006132,万家智造优势混合A,CHINA,Mutual Fund,ak
#004812,中欧先进制造股票A,CHINA,Mutual Fund,ak
#004813,中欧先进制造股票C,CHINA,Mutual Fund,ak
#006133,万家智造优势混合C,CHINA,Mutual Fund,ak
#210008,金鹰策略配置混合,CHINA,Mutual Fund,ak
#004636,中信建投智信物联网C,CHINA,Mutual Fund,ak
#009009,平安科技创新混合C,CHINA,Mutual Fund,ak
#006003,工银医药健康股票C,CHINA,Mutual Fund,ak
#007474,华夏创成长ETF联接A,CHINA,Mutual Fund,ak
#007475,华夏创成长ETF联接C,CHINA,Mutual Fund,ak
#006051,鹏扬核心价值灵活配置A,CHINA,Mutual Fund,ak
#006052,鹏扬核心价值灵活配置C,CHINA,Mutual Fund,ak
#009008,平安科技创新混合A,CHINA,Mutual Fund,ak
#005520,国投瑞银创新医疗混合,CHINA,Mutual Fund,ak
#009162,富国医药成长30股票,CHINA,Mutual Fund,ak
#164304,新华中证环保产业指数,CHINA,Mutual Fund,ak
#007151,前海开源沪港深聚瑞混合,CHINA,Mutual Fund,ak
#161725,招商中证白酒指数(LOF),CHINA,Mutual Fund,ak
#000220,富国医疗保健行业混合A,CHINA,Mutual Fund,ak
#011151,富国医疗保健行业混合C,CHINA,Mutual Fund,ak
#004851,广发医疗保健股票A,CHINA,Mutual Fund,ak
#001879,长城创业板指数增强A,CHINA,Mutual Fund,ak
#006928,长城创业板指数增强C,CHINA,Mutual Fund,ak
#004895,华商鑫安灵活混合,CHINA,Mutual Fund,ak
#002861,工银智能制造股票,CHINA,Mutual Fund,ak
#007291,汇丰晋信港股通双核策略混合,CHINA,Mutual Fund,ak
#009057,博时科技创新混合A,CHINA,Mutual Fund,ak
#002387,工银沪港深股票A,CHINA,Mutual Fund,ak
#007512,工银沪港深股票C,CHINA,Mutual Fund,ak
#009163,广发医疗保健股票C,CHINA,Mutual Fund,ak
#257070,国联安优选行业混合,CHINA,Mutual Fund,ak
#004148,圆信永丰多策略,CHINA,Mutual Fund,ak
#009058,博时科技创新混合C,CHINA,Mutual Fund,ak
#000965,汇丰晋信新动力混合,CHINA,Mutual Fund,ak
#009491,宝盈创新驱动股票A,CHINA,Mutual Fund,ak
#011453,华泰柏瑞医疗健康C,CHINA,Mutual Fund,ak
#001702,东方创新科技混合,CHINA,Mutual Fund,ak
#001344,易方达沪深300医药联接A,CHINA,Mutual Fund,ak
#007883,易方达沪深300医药联接C,CHINA,Mutual Fund,ak
#001534,华宝万物互联混合,CHINA,Mutual Fund,ak
#009312,前海联合价值优选混合A,CHINA,Mutual Fund,ak
#009313,前海联合价值优选混合C,CHINA,Mutual Fund,ak
#009361,招商创新增长混合C,CHINA,Mutual Fund,ak
#009492,宝盈创新驱动股票C,CHINA,Mutual Fund,ak
#004424,汇添富文体娱乐混合,CHINA,Mutual Fund,ak
#005805,华泰柏瑞医疗健康A,CHINA,Mutual Fund,ak
#000126,招商安润混合,CHINA,Mutual Fund,ak
#519110,浦银安盛价值成长混合A,CHINA,Mutual Fund,ak
#009360,招商创新增长混合A,CHINA,Mutual Fund,ak
#001676,江信同福C,CHINA,Mutual Fund,ak
#213002,宝盈泛沿海增长混合,CHINA,Mutual Fund,ak
#163411,兴全精选混合,CHINA,Mutual Fund,ak
#001703,银华沪港深增长股票,CHINA,Mutual Fund,ak
#006408,汇添富消费升级混合,CHINA,Mutual Fund,ak
#161837,银华大盘两年定开混合,CHINA,Mutual Fund,ak
#001675,江信同福A,CHINA,Mutual Fund,ak
#377150,上投摩根健康品质生活混合,CHINA,Mutual Fund,ak
#001956,国联安科技动力,CHINA,Mutual Fund,ak
#001230,鹏华医药科技,CHINA,Mutual Fund,ak
#519935,长信创新驱动股票,CHINA,Mutual Fund,ak
#005634,汇安行业龙头混合,CHINA,Mutual Fund,ak
#009566,汇安泓阳三年持有期混合,CHINA,Mutual Fund,ak
#519120,浦银安盛新兴产业混合,CHINA,Mutual Fund,ak
#005342,长安裕泰混合C,CHINA,Mutual Fund,ak
#002482,宝盈互联网沪港深混合,CHINA,Mutual Fund,ak
#005341,长安裕泰混合A,CHINA,Mutual Fund,ak
#005742,南方成安优选混合,CHINA,Mutual Fund,ak
#160634,鹏华中证环保产业指数(LOF),CHINA,Mutual Fund,ak
#519113,浦银安盛精致生活混合,CHINA,Mutual Fund,ak
#001951,金鹰改革红利混合,CHINA,Mutual Fund,ak
#008264,南方ESG股票A,CHINA,Mutual Fund,ak
#008063,汇添富大盘核心资产混合,CHINA,Mutual Fund,ak
#001396,建信互联网+产业升级股票,CHINA,Mutual Fund,ak
#008919,永赢科技驱动A,CHINA,Mutual Fund,ak
#008920,永赢科技驱动C,CHINA,Mutual Fund,ak
#163114,申万菱信中证环保产业指数(LOF)A,CHINA,Mutual Fund,ak
#001135,益民品质升级混合,CHINA,Mutual Fund,ak
#010419,申万菱信中证环保产业指数(LOF)C,CHINA,Mutual Fund,ak
#005347,诺德量化优选6个月持有期混合,CHINA,Mutual Fund,ak
#005049,长安鑫旺价值混合A,CHINA,Mutual Fund,ak
#008265,南方ESG股票C,CHINA,Mutual Fund,ak
#501311,嘉实港股通新经济指数A,CHINA,Mutual Fund,ak
#006614,嘉实港股通新经济指数C,CHINA,Mutual Fund,ak
#005142,中融沪港深大消费主题A,CHINA,Mutual Fund,ak
#260108,景顺长城新兴成长混合,CHINA,Mutual Fund,ak
#005050,长安鑫旺价值混合C,CHINA,Mutual Fund,ak
#000541,华商创新成长混合发起式,CHINA,Mutual Fund,ak
#180013,银华领先策略混合,CHINA,Mutual Fund,ak
#005237,银华医疗健康量化优选A,CHINA,Mutual Fund,ak
#005671,前海联合研究优选混合A,CHINA,Mutual Fund,ak
#005672,前海联合研究优选混合C,CHINA,Mutual Fund,ak
#002686,中欧丰泓沪港深混合C,CHINA,Mutual Fund,ak
#008681,鹏华价值成长混合,CHINA,Mutual Fund,ak
#005143,中融沪港深大消费主题C,CHINA,Mutual Fund,ak
#001064,广发中证环保ETF联接A,CHINA,Mutual Fund,ak
#002984,广发中证环保ETF联接C,CHINA,Mutual Fund,ak
#006314,中融策略优选混合A,CHINA,Mutual Fund,ak
#006315,中融策略优选混合C,CHINA,Mutual Fund,ak
