Code,Name,Exchange,Type,Source
#00206,华商国际海洋控股,HKG,Stocks,ak
#00207,大悦城地产,HKG,Stocks,ak
#00208,保利达资产,HKG,Stocks,ak
#00209,瀛晟科学,HKG,Stocks,ak
#00210,达芙妮国际,HKG,Stocks,ak
#00211,STYLAND HOLD,HKG,Stocks,ak
#00212,南洋集团,HKG,Stocks,ak
#00213,乐声电子,HKG,Stocks,ak
#00214,汇汉控股,HKG,Stocks,ak
#00215,和记电讯香港,HKG,Stocks,ak
#00216,建业实业,HKG,Stocks,ak
#00217,中国诚通发展集团,HKG,Stocks,ak
#00218,申万宏源香港,HKG,Stocks,ak
#00219,顺豪物业,HKG,Stocks,ak
#00220,统一企业中国,HKG,Stocks,ak
#00222,闽信集团,HKG,Stocks,ak
#00223,易生活控股,HKG,Stocks,ak
#00224,建生国际,HKG,Stocks,ak
#00225,博富临置业,HKG,Stocks,ak
#00226,力宝,HKG,Stocks,ak
#00227,第一上海,HKG,Stocks,ak
#00228,中能控股,HKG,Stocks,ak
#00229,利民实业,HKG,Stocks,ak
#00230,五矿地产,HKG,Stocks,ak
#00231,平安证券集团控股,HKG,Stocks,ak
#00232,中国航空工业国际,HKG,Stocks,ak
#00234,新世纪集团,HKG,Stocks,ak
#00235,中策集团,HKG,Stocks,ak
#00236,香港生力啤,HKG,Stocks,ak
#00237,安全货仓,HKG,Stocks,ak
#00238,长兴国际,HKG,Stocks,ak
#00239,白花油,HKG,Stocks,ak
#00240,利基控股,HKG,Stocks,ak
#00241,阿里健康,HKG,Stocks,ak
#00242,信德集团,HKG,Stocks,ak
#00243,品质国际,HKG,Stocks,ak
#00244,先施,HKG,Stocks,ak
#00245,中薇金融,HKG,Stocks,ak
#00247,尖沙咀置业,HKG,Stocks,ak
#00248,香港通讯国际控股,HKG,Stocks,ak
#00250,中国数码信息,HKG,Stocks,ak
#00251,爪哇控股,HKG,Stocks,ak
#00252,华信地产财务,HKG,Stocks,ak
#00253,顺豪控股,HKG,Stocks,ak
#00254,国家联合资源,HKG,Stocks,ak
#00255,龙记集团,HKG,Stocks,ak
#00256,冠城钟表珠宝,HKG,Stocks,ak
#00257,光大环境,HKG,Stocks,ak
#00258,汤臣集团,HKG,Stocks,ak
#00259,亿都(国际控股),HKG,Stocks,ak
#00260,幸福控股,HKG,Stocks,ak
#00261,GBA集团,HKG,Stocks,ak
#00262,迪臣发展国际,HKG,Stocks,ak
#00263,高富集团控股,HKG,Stocks,ak
#00264,中联发展控股,HKG,Stocks,ak
#00265,东胜旅游,HKG,Stocks,ak
#00266,天德地产,HKG,Stocks,ak
#00267,中信股份,HKG,Stocks,ak
#00268,金蝶国际,HKG,Stocks,ak
#00269,中国资源交通,HKG,Stocks,ak
#00270,粤海投资,HKG,Stocks,ak
#00271,亚证地产,HKG,Stocks,ak
#00272,瑞安房地产,HKG,Stocks,ak
#00273,茂宸集团,HKG,Stocks,ak
#00274,中富资源,HKG,Stocks,ak
#00276,蒙古能源,HKG,Stocks,ak
#00277,太兴置业,HKG,Stocks,ak
#00278,华厦置业,HKG,Stocks,ak
#00279,民众金融科技,HKG,Stocks,ak
#00280,景福集团,HKG,Stocks,ak
#00281,川河集团,HKG,Stocks,ak
#00282,壹传媒,HKG,Stocks,ak
#00285,比亚迪电子,HKG,Stocks,ak
#00286,爱帝宫,HKG,Stocks,ak
#00287,永发置业,HKG,Stocks,ak
#00288,万洲国际,HKG,Stocks,ak
#00289,永安国际,HKG,Stocks,ak
#00290,中国富强金融,HKG,Stocks,ak
#00291,华润啤酒,HKG,Stocks,ak
#00292,泛海酒店,HKG,Stocks,ak
#00293,国泰航空,HKG,Stocks,ak
#00294,长江制衣,HKG,Stocks,ak
#00295,江山控股,HKG,Stocks,ak
#00296,英皇娱乐酒店,HKG,Stocks,ak
#00297,中化化肥,HKG,Stocks,ak
#00298,庄士中国,HKG,Stocks,ak
#00299,宝新置地,HKG,Stocks,ak
#00301,三和精化,HKG,Stocks,ak
#00302,中手游,HKG,Stocks,ak
#00303,伟易达集团,HKG,Stocks,ak
#00305,五菱汽车,HKG,Stocks,ak
#00306,冠忠巴士集团,HKG,Stocks,ak
#00307,优派能源发展,HKG,Stocks,ak
#00308,香港中旅,HKG,Stocks,ak
#00309,新华通讯频媒,HKG,Stocks,ak
#00310,嘉进投资国际,HKG,Stocks,ak
#00311,联泰控股,HKG,Stocks,ak
#00312,岁宝百货,HKG,Stocks,ak
#00313,裕田中国,HKG,Stocks,ak
#00315,数码通电讯,HKG,Stocks,ak
#00316,东方海外国际,HKG,Stocks,ak
#00317,中船防务,HKG,Stocks,ak
#00318,黄河实业,HKG,Stocks,ak
#00320,金宝通,HKG,Stocks,ak
#00321,德永佳集团,HKG,Stocks,ak
#00322,康师傅控股,HKG,Stocks,ak
#00323,马鞍山钢铁股份,HKG,Stocks,ak
#00326,中国星集团,HKG,Stocks,ak
#00327,百富环球,HKG,Stocks,ak
#00328,ALCO HOLDINGS,HKG,Stocks,ak
#00329,东建国际,HKG,Stocks,ak
#00330,思捷环球,HKG,Stocks,ak
#00331,丰盛服务集团,HKG,Stocks,ak
#00332,元亨燃气,HKG,Stocks,ak
#00333,黛丽斯国际,HKG,Stocks,ak
#00334,华显光电,HKG,Stocks,ak
#00335,美建集团,HKG,Stocks,ak
#00336,华宝国际,HKG,Stocks,ak
#00337,绿地香港,HKG,Stocks,ak
#00338,上海石油化工股份,HKG,Stocks,ak
#00339,核心经济投资,HKG,Stocks,ak
#00340,潼关黄金,HKG,Stocks,ak
#00341,大家乐集团,HKG,Stocks,ak
#00342,新海能源,HKG,Stocks,ak
#00343,文化传信,HKG,Stocks,ak
#00345,维他奶国际,HKG,Stocks,ak
#00346,延长石油国际,HKG,Stocks,ak
#00347,鞍钢股份,HKG,Stocks,ak
#00348,中国智能健康,HKG,Stocks,ak
#00351,亚洲能源物流,HKG,Stocks,ak
#00352,富阳,HKG,Stocks,ak
#00353,能源国际投资,HKG,Stocks,ak
#00354,中国软件国际,HKG,Stocks,ak
#00355,世纪城市国际,HKG,Stocks,ak
#00356,鼎立资本,HKG,Stocks,ak
#00357,美兰空港,HKG,Stocks,ak
#00358,江西铜业股份,HKG,Stocks,ak
#00359,海升果汁,HKG,Stocks,ak
#00360,新焦点,HKG,Stocks,ak
#00361,顺龙控股,HKG,Stocks,ak
#00362,信阳毛尖,HKG,Stocks,ak
#00363,上海实业控股,HKG,Stocks,ak
#00364,区块链集团,HKG,Stocks,ak
#00365,芯成科技,HKG,Stocks,ak
#00366,陆氏集团(越南),HKG,Stocks,ak
#00367,庄士机构国际,HKG,Stocks,ak
#00368,德合集团,HKG,Stocks,ak
#00369,永泰地产,HKG,Stocks,ak
#00370,国华,HKG,Stocks,ak
#00371,北控水务集团,HKG,Stocks,ak
#00372,保德国际发展,HKG,Stocks,ak
#00373,联合集团,HKG,Stocks,ak
#00374,四洲集团,HKG,Stocks,ak
#00375,YGM TRADING,HKG,Stocks,ak
#00376,云锋金融,HKG,Stocks,ak
#00377,中国华君,HKG,Stocks,ak
#00378,五龙动力,HKG,Stocks,ak
#00379,恒嘉融资租赁,HKG,Stocks,ak
#00380,冠力国际,HKG,Stocks,ak
#00381,侨雄国际,HKG,Stocks,ak
#00382,中汇集团,HKG,Stocks,ak
#00383,中国医疗网络,HKG,Stocks,ak
#00384,中国燃气,HKG,Stocks,ak
#00385,建联集团,HKG,Stocks,ak
#00386,中国石油化工股份,HKG,Stocks,ak
#00387,力丰(集团),HKG,Stocks,ak
#00388,香港交易所,HKG,Stocks,ak
#00389,通天酒业,HKG,Stocks,ak
#00390,中国中铁,HKG,Stocks,ak
#00391,美亚娱乐资讯,HKG,Stocks,ak
#00392,北京控股,HKG,Stocks,ak
#00393,旭日企业,HKG,Stocks,ak
#00395,环球智能控股,HKG,Stocks,ak
#00396,兴利(香港)控股,HKG,Stocks,ak
#00397,权威金融,HKG,Stocks,ak
#00398,东方表行集团,HKG,Stocks,ak
